細分類,細分類名
240203,ほうき・はたき類
240205,ちり取り
240207,掃除用ブラシ
240209,モップ・雑巾
240211,バケツ・ペール
240213,屑入れ
240297,その他掃除用品
240301,洗濯用品
240303,物干し用品
240305,洗濯仕上げ用品
240397,その他洗濯・物干し用品
240401,ガスマット類
240403,ふきん・鍋つかみ類
240405,たわし・スポンジ
240407,ペーパーフィルター
240409,缶切り・栓抜き類
240411,流し用品
240413,キッチンペーパー
240497,その他台所用品
240501,浴室用品
240503,洗面用品
240505,身体洗い用品
240507,トイレ用品
240597,その他浴室・トイレ用品
240601,食品調味料容器
240603,卓上小物
240605,箸
240607,ナイフ・フォーク・スプーン
240609,碗
240611,皿
240613,鉢・丼
240615,コップ・グラス
240617,湯呑・急須
240619,土瓶・鉄瓶
240621,徳利・盃
240623,簡易食器
240625,弁当箱・ウェア
240627,魔法瓶・ジャー
240697,その他食卓用品
240701,鍋・釜類
240703,やかん類
240705,フライパン類
240707,調理器物
240709,製菓用品
240797,その他調理器具
240801,シート類
240803,壁紙・障子紙
240805,ハンガーボード・フック
240807,ハンガー
240809,リビング用テープ類
240811,簡易収納ケース
240813,テーブルクロス
240897,その他リビング用品
249701,線香
249703,ローソク
249705,かいろ・湯たんぽ
249707,マッチ
249709,ライター
249711,喫煙用具
249713,荷造り用品
249715,家庭用手袋
249717,裁縫・手芸用品
249719,靴関連用品
249797,その他家庭用品
250101,大工用品
250103,電動工具
250105,塗装用具
250197,その他建築・塗装用具
250201,建築・金具
250203,木材
250205,基礎材
250207,塗装材料
250209,接着剤
250211,補修用品
250297,その他建築・塗装材料
250301,ガス部品
250303,水道部品
250397,その他ガス・水道部品
250401,園芸用殺虫剤
250403,肥料
250405,用土
250407,種・球根類
250409,鉢・フラワースタンド類
250411,園芸用具
250413,生花用品
250497,その他園芸用品
259797,その他ＤＩＹ用品
260101,ドッグフード
260103,キャットフード
260105,バードフード
260107,フィッシュフード
260197,その他ペットフード
260201,ペット用医薬品
260203,ペット用シャンプー
260297,その他ペット用剤
260301,犬猫用具
260303,バード用具
260305,フィッシュ用具
260397,その他ペット用具
269797,その他ペット用品
290101,日用贈答品
290197,その他日用贈答品
290301,写真用フィルム
290303,8ミリフィルム
290397,その他フィルム
290401,カセットテープ
290403,オープンリールテープ
290405,ビデオテープ
290497,その他オーディオ・ビデオテープ
299797,その他日用品
310101,ＯＡスタンド
310103,カードケース・ボックス
310197,情報整理用品一般
310201,ファイル
310203,ボックスファイル
310205,フォルダー
310207,用箋挟み
310209,バインダー
310297,ファイル・バインダー、一般
310301,印章・印字用品
310303,ファスナー
310305,クリップ
310307,画鋲・ピン
310309,ゴムバンド
310311,カッターナイフ
310313,はさみ
310315,粘着テープ
310317,糊つきメモ
310319,接着剤
310397,事務用品一般
310401,鉛筆
310403,シャープペンシル
310405,ボールペン
310407,マーキングペン
310409,万年筆
310411,消しゴム
310413,修正液
310415,筆ペン
310497,筆記用具一般
310501,ノート
310503,手帳
310505,カード
310507,便箋
310509,封筒
310511,保存袋、手提袋
310513,事務用紙製品
310515,届け出用紙
310597,紙製品一般
310601,アルバム
310603,礼式用品
310605,一般紙製品
310607,輸入紙製品
310609,はがき
310611,和本
310613,包装用品
310697,日用紙製品一般
310701,絵画用品
310703,書道用品
310705,彫刻用品
310707,そろばん
310709,鉛筆削り
310711,筆入れ
310713,定規・コンパス
310715,学童用品・教材教具
310717,地球儀類
310719,光学用品
310797,教育関連用品一般
310801,電卓
310803,電子手帳
310805,電子黒板
310897,電子文具一般
310901,チェックライター
310903,パンチ
310905,ホチキス
310907,裁断器
310997,事務用機器一般
311001,ワードプロセッサ
311003,複写機
311005,タイムレコーダー
311007,ファクシミリ・電話
311009,レジスター
311011,パソコン
311013,印刷機
311015,シュレッダー
311017,ラミネーター
311019,オーバーヘッドプロジェクター
311021,製本機
311097,事務機械一般
311101,データファイル・バインダー
311103,フロッピーディスク
311105,ＯＡ用紙
311107,ＯＡリボン
311109,ラミネート用品
311111,ＯＨＰ用品
311197,ＯＡサプライズ一般
311201,製図機械
311203,製図ペン
311205,製図用定規・コンパス
311297,設計製図用品一般
311301,レタリングシート
311397,デザイン画材用品一般
311501,机・テーブル
311503,椅子
311505,収納家具・ロッカー
311507,金庫
311509,物品棚
311511,オフィスアクセサリー
311513,黒板・ホワイトボード
311515,応接セット
311597,オフィス家具一般
311601,袋ものカバン
311603,パスケース
311605,名刺入れ
311697,携帯文具一般
311797,文具、事務用品贈答品一般
311801,電池
311803,カセット
311805,ビデオテープ
311897,文具関連電気用品一般
319797,その他一般文具・事務用品・情報文具
320101,盤ゲーム
320103,アクションゲーム
320105,ミニゲーム
320107,ジョークゲーム
320111,シミュレーションゲーム
320113,カードゲーム
320115,古典ゲーム
320117,手品
320119,ジョークトーイ
320121,その他アダルトゲーム
320197,その他一般ゲーム
320201,パズル
320203,ジグソーパズル
320297,その他パズル
320301,電子ゲーム
320397,その他電子ゲーム
320401,テレビゲーム・パソコン本体
320403,テレビゲーム・パソコンソフト
320497,その他テレビゲーム・パソコン
320501,オリジナル男児キャラクター
320503,マスコミ男児キャラクター
320597,その他男児キャラクター
320601,フリクションアクショントーイ
320603,バッテリーアクショントーイ
320605,ゼンマイアクショントーイ
320697,その他アクショントーイ
320701,ミニカー
320703,ミニカー用品
320705,アクションミニカー
320797,その他ミニカー
320801,レールトーイ
320897,その他レールトーイ
320901,トイラジオコントロール
320903,リモートコントロール
320905,レーシング
320909,ハイテックロボ
320911,サイエンスホビー
320997,その他コントロール・サイエンストーイ
321001,人形
321003,ハウス・家具
321005,きせかえ用品
321097,その他きせかえ
321101,ままごと
321197,その他ままごと
321201,女児ホビー
321203,女児コレクションホビー
321207,音楽
321297,その他女児ホビー
321301,抱き人形
321303,アクション人形
321305,ファッション人形
321397,その他トイドール
321401,学習器
321403,ブロック
321405,積木
321407,マイク・楽器
321409,工作
321411,幼児用パズル
321497,その他知育
321501,バストーイ
321503,ベビートーイ
321505,ベビーヨウヒン
321597,その他保育玩具
