command,data_set,real,user,sys,user_sys
msortf,900_rand,29.274,20.203,2.26,22.463
xtsort,900_rand,30.374,10.102,2.041,12.143
msortf,1000_rand,29.082,22.432,2.309,24.741
xtsort,1000_rand,32.152,11.368,2.342,13.71
msortf,100_100,1.471,1.902,0.208,2.11
xtsort,100_100,1.216,0.961,0.111,1.072
msortf,200_100,3.753,4.118,0.477,4.595
xtsort,200_100,3.601,2.193,0.415,2.608
msortf,300_100,7.94,6.209,0.68,6.889
xtsort,300_100,5.647,3.286,0.606,3.892
msortf,400_100,7.127,8.302,0.827,9.129
xtsort,400_100,7.093,4.4,0.793,5.193
msortf,500_100,9.316,10.431,1.046,11.477
xtsort,500_100,12.736,5.6,1.018,6.618
msortf,600_100,11.379,12.657,1.235,13.892
xtsort,600_100,10.552,6.713,1.196,7.909
msortf,700_100,12.701,14.786,1.352,16.138
xtsort,700_100,19.449,7.952,1.483,9.435
msortf,800_100,24.483,16.965,1.869,18.834
xtsort,800_100,24.304,9.221,1.888,11.109
msortf,900_100,25.109,19.127,2.054,21.181
xtsort,900_100,25.758,10.363,2.094,12.457
msortf,1000_100,39.159,21.435,2.531,23.966
xtsort,1000_100,35.297,11.77,2.314,14.084
msortf,100_rand,1.617,1.93,0.221,2.151
xtsort,100_rand,1.111,0.951,0.11,1.061
msortf,200_rand,3.821,4.253,0.542,4.795
xtsort,200_rand,3.46,2.159,0.427,2.586
msortf,300_rand,4.38,6.431,0.631,7.062
xtsort,300_rand,5.154,3.278,0.61,3.888
msortf,400_rand,7.035,8.715,0.814,9.529
xtsort,400_rand,7.077,4.381,0.794,5.175
msortf,500_rand,10.8,10.973,1.048,12.021
xtsort,500_rand,8.727,5.52,0.983,6.503
msortf,600_rand,10.542,13.308,1.173,14.481
xtsort,600_rand,14.509,6.764,1.299,8.063
msortf,700_rand,13.067,15.565,1.373,16.938
xtsort,700_rand,19.88,7.852,1.485,9.337
msortf,800_rand,27.064,18.075,1.909,19.984
xtsort,800_rand,23.586,9.079,1.866,10.945
msortf,900_rand,13.828,20.171,1.767,21.938
xtsort,900_rand,27.097,10.227,2.079,12.306
msortf,1000_rand,34.298,22.545,2.375,24.92
xtsort,1000_rand,29.179,11.448,2.33,13.778
msortf,100_100,1.371,1.859,0.196,2.055
xtsort,100_100,1.267,0.955,0.111,1.066
msortf,200_100,4.164,4.106,0.466,4.572
xtsort,200_100,3.912,2.174,0.407,2.581
msortf,300_100,4.776,6.161,0.64,6.801
xtsort,300_100,5.567,3.29,0.607,3.897
msortf,400_100,6.816,8.343,0.828,9.171
xtsort,400_100,10.778,4.451,0.801,5.252
msortf,500_100,9.533,10.479,1.032,11.511
xtsort,500_100,8.17,5.568,0.985,6.553
msortf,600_100,8.408,12.605,1.18,13.785
xtsort,600_100,9.405,6.694,1.178,7.872
msortf,700_100,10.718,14.803,1.401,16.204
xtsort,700_100,13.219,7.85,1.429,9.279
msortf,800_100,13.026,16.915,1.538,18.453
xtsort,800_100,21.938,9.14,1.698,10.838
msortf,900_100,13.675,19.034,1.779,20.813
xtsort,900_100,26.105,10.248,2.058,12.306
msortf,1000_100,29.43,21.485,2.355,23.84
xtsort,1000_100,32.12,11.674,2.167,13.841
msortf,100_rand,1.937,1.992,0.211,2.203
xtsort,100_rand,1.224,0.934,0.114,1.048
msortf,200_rand,3.416,4.258,0.471,4.729
xtsort,200_rand,3.116,2.151,0.388,2.539
msortf,300_rand,4.787,6.469,0.644,7.113
xtsort,300_rand,4.85,3.275,0.583,3.858
msortf,400_rand,6.448,8.706,0.847,9.553
xtsort,400_rand,6.705,4.434,0.784,5.218
msortf,500_rand,8.971,10.868,1.109,11.977
xtsort,500_rand,8.102,5.489,0.986,6.475
msortf,600_rand,8.773,13.288,1.169,14.457
xtsort,600_rand,10.326,6.64,1.176,7.816
msortf,700_rand,13.476,15.698,1.428,17.126
xtsort,700_rand,20.866,7.923,1.508,9.431
msortf,800_rand,12.689,17.949,1.585,19.534
xtsort,800_rand,21.756,9.093,1.714,10.807
msortf,900_rand,30.674,20.339,2.176,22.515
xtsort,900_rand,27.253,10.259,2.087,12.346
msortf,1000_rand,29.233,22.406,2.282,24.688
xtsort,1000_rand,32.002,11.359,2.328,13.687
msortf,100_100,1.631,1.915,0.208,2.123
xtsort,100_100,1.202,0.954,0.11,1.064
msortf,200_100,3.909,4.092,0.463,4.555
xtsort,200_100,3.582,2.177,0.408,2.585
msortf,300_100,6.406,6.138,0.683,6.821
xtsort,300_100,4.835,3.293,0.58,3.873
msortf,400_100,5.468,8.305,0.805,9.11
xtsort,400_100,7.074,4.421,0.78,5.201
msortf,500_100,7.734,10.475,1.009,11.484
xtsort,500_100,9.168,5.597,0.992,6.589
msortf,600_100,11.019,12.537,1.295,13.832
xtsort,600_100,10.454,6.686,1.242,7.928
msortf,700_100,12.503,14.807,1.37,16.177
xtsort,700_100,21.147,8.015,1.657,9.672
msortf,800_100,21.846,17.027,1.82,18.847
xtsort,800_100,24.558,9.091,1.706,10.797
msortf,900_100,25.79,19.151,2.163,21.314
xtsort,900_100,26.97,10.287,2.066,12.353
msortf,1000_100,29.378,21.37,2.345,23.715
xtsort,1000_100,33.464,11.742,2.172,13.914
msortf,100_rand,1.677,1.926,0.222,2.148
xtsort,100_rand,1.205,0.937,0.11,1.047
msortf,200_rand,3.032,4.281,0.479,4.76
xtsort,200_rand,3.217,2.169,0.389,2.558
msortf,300_rand,4.572,6.429,0.664,7.093
xtsort,300_rand,4.834,3.274,0.578,3.852
msortf,400_rand,7.284,8.747,0.819,9.566
xtsort,400_rand,7.096,4.398,0.783,5.181
msortf,500_rand,7.835,10.981,1.002,11.983
xtsort,500_rand,8.088,5.501,0.972,6.473
msortf,600_rand,9.784,13.31,1.185,14.495
xtsort,600_rand,10.286,6.636,1.19,7.826
msortf,700_rand,14.118,15.62,1.411,17.031
xtsort,700_rand,16.321,7.897,1.487,9.384
msortf,800_rand,13.775,17.954,1.546,19.5
xtsort,800_rand,21.746,8.991,1.717,10.708
msortf,900_rand,26.553,20.297,2.082,22.379
